C11 C12 C13 C14 C15 C16 C22 C23 C24 C25 C26 C33 C34 C35 C36 C44 C45 C46 C55 C56 C66 w0 w1 w2 w3 w4 w5 w01 w02 w03 w11 w12 w13 w21 w22 w23 w31 w32 w33 Sharing nodes
0.624469 0.298446 0.298446 -0.000000 -0.000000 0.000000 0.624469 0.298446 0.000000 -0.000000 -0.000000 0.624469 -0.000000 -0.000000 -0.000000 0.583685 -0.000000 -0.000000 0.583685 -0.000000 0.583685 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 e0 e3
1.889264 0.932920 0.932920 -0.000000 0.000000 -0.000000 1.889264 0.932920 -0.000000 -0.000000 0.000000 1.889264 -0.000000 0.000000 -0.000000 0.890963 0.000000 0.000000 0.890963 -0.000000 0.890963 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e4 e1 f3
0.247775 0.034164 0.034164 -0.000000 -0.000000 -0.000000 0.247775 0.034164 -0.000000 -0.000000 0.000000 0.247775 -0.000000 -0.000000 -0.000000 0.122380 -0.000000 0.000000 0.122380 -0.000000 0.122380 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 f0 e0
0.030826 0.022276 0.022276 -0.000000 0.000000 0.000000 0.030826 0.022276 -0.000000 -0.000000 -0.000000 0.030826 0.000000 0.000000 -0.000000 0.012168 0.000000 -0.000000 0.012168 0.000000 0.012168 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 e4 f2
0.094829 -0.000839 -0.000839 -0.000000 -0.000000 -0.000000 0.094829 -0.000839 0.000000 -0.000000 0.000000 0.094829 -0.000000 0.000000 -0.000000 0.002529 0.000000 -0.000000 0.002529 -0.000000 0.002529 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e1 v3 f1
1.847761 0.973637 0.973637 -0.000000 -0.000000 -0.000000 1.847761 0.973637 0.000000 -0.000000 -0.000000 1.847761 -0.000000 0.000000 -0.000000 0.924639 0.000000 0.000000 0.924639 -0.000000 0.924639 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 e4 e1
0.336275 0.003592 0.003592 -0.000000 -0.000000 -0.000000 0.336275 0.003592 0.000000 0.000000 -0.000000 0.336275 -0.000000 0.000000 -0.000000 0.000326 0.000000 0.000000 0.000326 -0.000000 0.000326 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 v2 e2
0.384990 -0.001707 -0.001707 -0.000000 0.000000 -0.000000 0.384990 -0.001707 0.000000 -0.000000 0.000000 0.384990 0.000000 0.000000 -0.000000 0.003698 0.000000 -0.000000 0.003698 -0.000000 0.003698 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 e5 e2
0.590285 0.000574 0.000574 0.000000 0.000000 0.000000 0.590285 0.000574 -0.000000 0.000000 -0.000000 0.590285 -0.000000 -0.000000 -0.000000 0.010064 0.000000 0.000000 0.010064 -0.000000 0.010064 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e5 e4 f1
1.312040 0.295291 0.295291 0.000000 -0.000000 -0.000000 1.312040 0.295291 0.000000 0.000000 -0.000000 1.312040 0.000000 0.000000 0.000000 0.269737 0.000000 0.000000 0.269737 0.000000 0.269737 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 e3 e2
0.032928 0.000343 0.000343 -0.000000 -0.000000 0.000000 0.032928 0.000343 0.000000 -0.000000 0.000000 0.032928 0.000000 0.000000 -0.000000 0.001774 0.000000 0.000000 0.001774 -0.000000 0.001774 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e5 v3 f3
0.132520 0.043328 0.043328 -0.000000 0.000000 0.000000 0.132520 0.043328 0.000000 -0.000000 0.000000 0.132520 0.000000 0.000000 0.000000 0.004058 0.000000 -0.000000 0.004058 0.000000 0.004058 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 e1 f2
0.853177 0.110868 0.110868 0.000000 0.000000 -0.000000 0.853177 0.110868 -0.000000 -0.000000 0.000000 0.853177 0.000000 0.000000 -0.000000 0.011765 0.000000 -0.000000 0.011765 0.000000 0.011765 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e3 e4 f2
0.689118 0.339085 0.339085 -0.000000 -0.000000 0.000000 0.689118 0.339085 -0.000000 -0.000000 -0.000000 0.689118 -0.000000 -0.000000 0.000000 0.763288 -0.000000 -0.000000 0.763288 -0.000000 0.763288 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v1 v3 e0
1.728780 0.045257 0.045257 -0.000000 -0.000000 -0.000000 1.728780 0.045257 0.000000 0.000000 -0.000000 1.728780 -0.000000 0.000000 -0.000000 0.010642 0.000000 0.000000 0.010642 -0.000000 0.010642 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e3 e4 e5
0.538781 0.269054 0.269054 -0.000000 0.000000 -0.000000 0.538781 0.269054 -0.000000 -0.000000 -0.000000 0.538781 -0.000000 -0.000000 -0.000000 0.259234 0.000000 0.000000 0.259234 -0.000000 0.259234 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 e3 f2
0.710931 0.009207 0.009207 -0.000000 0.000000 0.000000 0.710931 0.009207 -0.000000 -0.000000 -0.000000 0.710931 -0.000000 0.000000 0.000000 0.001317 -0.000000 0.000000 0.001317 -0.000000 0.001317 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v1 v2 f3
1.521285 0.405822 0.405822 0.000000 -0.000000 0.000000 1.521285 0.405822 -0.000000 0.000000 -0.000000 1.521285 0.000000 0.000000 -0.000000 0.020466 0.000000 0.000000 0.020466 -0.000000 0.020466 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e2 e4 e5
1.023171 0.020080 0.020080 0.000000 -0.000000 -0.000000 1.023171 0.020080 -0.000000 0.000000 -0.000000 1.023171 -0.000000 0.000000 0.000000 0.003271 -0.000000 0.000000 0.003271 -0.000000 0.003271 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v1 v2 v3
0.215352 0.047668 0.047668 -0.000000 -0.000000 0.000000 0.215352 0.047668 -0.000000 -0.000000 -0.000000 0.215352 -0.000000 -0.000000 -0.000000 0.610561 -0.000000 0.000000 0.610561 -0.000000 0.610561 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e0 v3 f0
0.726736 -0.302383 -0.302383 0.000000 -0.000000 0.000000 0.726736 -0.302383 -0.000000 -0.000000 0.000000 0.726736 0.000000 -0.000000 -0.000000 0.005224 -0.000000 0.000000 0.005224 -0.000000 0.005224 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 e0 f2
0.645849 0.183821 0.183821 0.000000 0.000000 0.000000 0.645849 0.183821 0.000000 -0.000000 -0.000000 0.645849 0.000000 0.000000 -0.000000 0.443596 0.000000 -0.000000 0.443596 0.000000 0.443596 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e2 e4 f2
0.069989 0.001845 0.001845 -0.000000 -0.000000 -0.000000 0.069989 0.001845 0.000000 -0.000000 0.000000 0.069989 0.000000 -0.000000 -0.000000 0.006129 0.000000 -0.000000 0.006129 -0.000000 0.006129 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 f0 v3 f3
0.334410 0.174590 0.174590 -0.000000 0.000000 0.000000 0.334410 0.174590 -0.000000 -0.000000 0.000000 0.334410 -0.000000 0.000000 0.000000 0.161823 0.000000 -0.000000 0.161823 0.000000 0.161823 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e1 f3 f2
0.919118 -0.155151 -0.155151 -0.000000 -0.000000 0.000000 0.919118 -0.155151 -0.000000 -0.000000 0.000000 0.919118 -0.000000 0.000000 0.000000 0.044446 0.000000 0.000000 0.044446 -0.000000 0.044446 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 e0 f3
