C11 C12 C13 C14 C15 C16 C22 C23 C24 C25 C26 C33 C34 C35 C36 C44 C45 C46 C55 C56 C66 w5 w11 w12 w13 w21 w22 w23 w41 w42 w43
0.533629 0.261125 0.261125 0.000000 -0.000000 -0.000000 0.388218 0.112916 -0.000000 -0.000000 -0.000000 0.388218 -0.000000 0.000000 -0.000000 0.256218 0.000000 0.000000 0.356397 0.000000 0.256218 0.000000 0.000000 1.000000 0.000000 0.333333 0.000000 0.666667 1.000000 0.000000 0.000000 
1.245813 0.419664 0.419664 -0.000000 -0.000000 -0.000000 0.503606 0.139611 -0.000000 -0.000000 -0.000000 0.503606 -0.000000 0.000000 -0.000000 0.328201 0.000000 0.000000 0.042455 0.000000 0.328201 0.000000 1.000000 0.000000 0.000000 0.666667 0.000000 0.333333 1.000000 0.000000 0.000000 
1.173933 0.476234 0.476234 -0.000000 0.000000 -0.000000 0.889232 0.398941 -0.000000 -0.000000 -0.000000 0.889232 0.000000 0.000000 0.000000 0.452811 -0.000000 -0.000000 0.386312 -0.000000 0.452811 0.333333 0.000000 0.666667 0.333333 0.000000 0.000000 1.000000 0.666667 0.000000 0.333333 
0.497615 0.139271 0.139271 0.000000 0.000000 0.000000 0.111867 0.091710 0.000000 -0.000000 -0.000000 0.111867 0.000000 0.000000 0.000000 0.001854 -0.000000 -0.000000 0.019293 -0.000000 0.001854 0.000000 0.000000 0.333333 0.666667 0.666667 0.000000 0.333333 0.666667 0.333333 0.000000 
0.882150 0.259614 0.259614 -0.000000 -0.000000 -0.000000 0.611553 0.004312 -0.000000 0.000000 0.000000 0.611553 -0.000000 -0.000000 -0.000000 0.253228 -0.000000 0.000000 0.000711 -0.000000 0.253228 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 1.000000 0.000000 
0.911328 0.192618 0.192618 0.000000 0.000000 0.000000 0.066171 0.040913 -0.000000 -0.000000 0.000000 0.066171 -0.000000 0.000000 0.000000 0.045483 0.000000 0.000000 0.008844 -0.000000 0.045483 0.000000 0.666667 0.000000 0.333333 0.666667 0.333333 0.000000 0.000000 1.000000 0.000000 
1.865395 0.209216 0.209216 0.000000 0.000000 -0.000000 0.109682 0.054717 0.000000 0.000000 0.000000 0.109682 -0.000000 -0.000000 0.000000 0.238360 0.000000 0.000000 0.012408 0.000000 0.238360 0.666667 1.000000 0.000000 0.000000 0.333333 0.666667 0.000000 0.000000 1.000000 0.000000 
0.018643 0.090774 0.090774 0.000000 0.000000 -0.000000 1.456690 0.121018 -0.000000 0.000000 0.000000 1.456690 -0.000000 -0.000000 -0.000000 0.096005 -0.000000 0.000000 0.175298 -0.000000 0.096005 0.333333 0.000000 0.000000 1.000000 0.000000 0.333333 0.666667 0.000000 0.333333 0.666667 
0.182576 0.048063 0.048063 -0.000000 0.000000 -0.000000 0.379983 0.022894 -0.000000 0.000000 0.000000 0.379983 0.000000 -0.000000 0.000000 0.323498 0.000000 0.000000 0.013939 0.000000 0.323498 0.333333 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.333333 0.000000 0.666667 
0.209728 0.076843 0.076843 0.000000 0.000000 0.000000 0.084752 0.049666 0.000000 0.000000 -0.000000 0.084752 -0.000000 -0.000000 -0.000000 0.281249 0.000000 0.000000 0.012695 -0.000000 0.281249 1.000000 0.333333 0.000000 0.666667 0.666667 0.000000 0.333333 0.000000 0.666667 0.333333 
0.527198 0.263296 0.263296 0.000000 0.000000 -0.000000 0.367461 0.040991 -0.000000 -0.000000 -0.000000 0.367461 -0.000000 -0.000000 -0.000000 0.253390 0.000000 0.000000 0.004580 0.000000 0.253390 0.000000 0.000000 1.000000 0.000000 0.666667 0.333333 0.000000 0.333333 0.333333 0.333333 
0.031957 0.025522 0.025522 -0.000000 -0.000000 0.000000 0.071608 0.000966 -0.000000 -0.000000 0.000000 0.071608 0.000000 0.000000 -0.000000 0.041093 -0.000000 0.000000 0.003827 0.000000 0.041093 1.000000 0.333333 0.333333 0.333333 0.666667 0.333333 0.000000 0.333333 0.000000 0.666667 
0.560902 0.450080 0.450080 -0.000000 -0.000000 0.000000 0.437811 0.399194 0.000000 0.000000 0.000000 0.437811 0.000000 0.000000 -0.000000 0.770233 0.000000 0.000000 0.145413 -0.000000 0.770233 1.000000 0.333333 0.000000 0.666667 0.333333 0.000000 0.666667 0.000000 1.000000 0.000000 
0.448406 0.147855 0.147855 -0.000000 -0.000000 0.000000 0.137014 0.078212 0.000000 -0.000000 0.000000 0.137014 0.000000 -0.000000 0.000000 0.021387 0.000000 -0.000000 0.021996 0.000000 0.021387 0.333333 1.000000 0.000000 0.000000 0.666667 0.333333 0.000000 0.333333 0.333333 0.333333 
0.367875 0.245028 0.245028 -0.000000 -0.000000 0.000000 0.694381 0.229532 -0.000000 -0.000000 -0.000000 0.694381 0.000000 0.000000 -0.000000 0.237657 -0.000000 -0.000000 0.224693 -0.000000 0.237657 0.000000 0.000000 0.666667 0.333333 0.333333 0.000000 0.666667 0.666667 0.000000 0.333333 
0.712215 0.159975 0.159975 -0.000000 -0.000000 0.000000 0.409847 0.040689 -0.000000 -0.000000 0.000000 0.409847 -0.000000 -0.000000 -0.000000 0.443260 0.000000 -0.000000 0.139307 0.000000 0.443260 1.000000 1.000000 0.000000 0.000000 0.333333 0.000000 0.666667 0.000000 1.000000 0.000000 
1.772130 0.246371 0.246371 -0.000000 -0.000000 0.000000 0.247956 0.246334 0.000000 -0.000000 0.000000 0.247956 -0.000000 0.000000 -0.000000 0.240610 0.000000 0.000000 0.239274 -0.000000 0.240610 0.333333 0.000000 0.666667 0.333333 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 
1.650005 0.274326 0.274326 -0.000000 -0.000000 0.000000 0.387554 0.052056 -0.000000 -0.000000 0.000000 0.387554 -0.000000 0.000000 -0.000000 0.009465 -0.000000 -0.000000 0.009391 -0.000000 0.009465 0.333333 0.000000 0.666667 0.333333 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 
0.388696 0.208091 0.208091 -0.000000 -0.000000 -0.000000 0.252006 0.023410 -0.000000 -0.000000 -0.000000 0.252006 -0.000000 0.000000 -0.000000 0.121850 -0.000000 -0.000000 0.004322 -0.000000 0.121850 0.000000 0.333333 0.666667 0.000000 0.333333 0.333333 0.333333 0.000000 1.000000 0.000000 
0.248667 0.246999 0.246999 0.000000 -0.000000 -0.000000 0.716177 0.310135 -0.000000 -0.000000 0.000000 0.716177 -0.000000 0.000000 -0.000000 0.240437 0.000000 0.000000 0.256090 -0.000000 0.240437 1.000000 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.333333 0.000000 0.666667 
0.531388 0.258725 0.258725 -0.000000 0.000000 -0.000000 0.610723 0.004744 0.000000 0.000000 -0.000000 0.610723 -0.000000 -0.000000 -0.000000 0.252441 0.000000 0.000000 0.000698 0.000000 0.252441 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.333333 0.666667 0.000000 
0.063308 0.161195 0.161195 -0.000000 0.000000 0.000000 1.020132 0.011131 -0.000000 -0.000000 -0.000000 1.020132 -0.000000 -0.000000 0.000000 0.189748 0.000000 -0.000000 0.000963 -0.000000 0.189748 0.666667 0.333333 0.333333 0.333333 0.666667 0.000000 0.333333 0.000000 0.666667 0.333333 
0.643834 0.001543 0.001543 0.000000 -0.000000 -0.000000 0.017233 0.010065 0.000000 0.000000 0.000000 0.017233 0.000000 0.000000 0.000000 0.002743 -0.000000 -0.000000 0.017240 -0.000000 0.002743 0.000000 0.000000 0.666667 0.333333 0.333333 0.000000 0.666667 0.333333 0.666667 0.000000 
0.273861 0.181833 0.181833 -0.000000 -0.000000 -0.000000 0.888607 0.022733 -0.000000 0.000000 0.000000 0.888607 -0.000000 -0.000000 -0.000000 0.173912 -0.000000 -0.000000 0.001577 -0.000000 0.173912 0.000000 0.000000 0.333333 0.666667 0.000000 0.333333 0.666667 0.333333 0.000000 0.666667 
0.416729 0.242005 0.242005 -0.000000 -0.000000 0.000000 0.284349 0.145191 -0.000000 -0.000000 -0.000000 0.284349 -0.000000 -0.000000 -0.000000 0.004534 -0.000000 -0.000000 0.038875 0.000000 0.004534 0.000000 0.000000 0.333333 0.666667 0.333333 0.333333 0.333333 0.333333 0.000000 0.666667 
0.103313 0.212664 0.212664 0.000000 0.000000 -0.000000 1.202207 0.281300 0.000000 0.000000 0.000000 1.202207 -0.000000 -0.000000 -0.000000 0.236844 -0.000000 0.000000 0.255833 -0.000000 0.236844 0.000000 0.333333 0.666667 0.000000 0.000000 0.000000 1.000000 1.000000 0.000000 0.000000 
1.188118 0.481624 0.481624 -0.000000 -0.000000 -0.000000 0.541197 0.399031 -0.000000 -0.000000 -0.000000 0.541197 0.000000 0.000000 0.000000 0.455815 -0.000000 -0.000000 0.390385 -0.000000 0.455815 0.333333 0.000000 0.666667 0.333333 0.000000 0.666667 0.333333 0.333333 0.000000 0.666667 
0.972629 0.167561 0.167561 -0.000000 -0.000000 -0.000000 0.397334 0.010088 0.000000 0.000000 -0.000000 0.397334 -0.000000 -0.000000 0.000000 0.002604 0.000000 -0.000000 0.001857 -0.000000 0.002604 0.000000 1.000000 0.000000 0.000000 0.333333 0.666667 0.000000 1.000000 0.000000 0.000000 
0.441764 0.345260 0.345260 -0.000000 0.000000 0.000000 0.936664 0.216082 -0.000000 -0.000000 0.000000 0.936664 -0.000000 0.000000 0.000000 0.416235 0.000000 0.000000 0.217014 -0.000000 0.416235 0.666667 0.000000 0.333333 0.666667 0.000000 0.666667 0.333333 0.333333 0.000000 0.666667 
0.076338 0.129250 0.129250 -0.000000 -0.000000 -0.000000 0.890031 0.017207 -0.000000 -0.000000 -0.000000 0.890031 -0.000000 -0.000000 0.000000 0.003335 -0.000000 -0.000000 0.000721 -0.000000 0.003335 0.000000 0.666667 0.000000 0.333333 0.000000 0.666667 0.333333 0.000000 0.000000 1.000000 
